1;Percy Jackson O Ladrao de Raios;Rick Riordan;49,5;10
2;Harry Potter e a Pedra Filosofal;J. K. Rowling;25,89;15
3;A Song of Ice and Fire;George R R Martin;39,99;8
4;O Mar de Monstros;Rick Riordan;42,9;12
5;Harry Potter e a Camara Secreta;J. K. Rowling;29,9;10
6;O Hobbit;J. R. R. Tolkien;35,5;20
7;O Senhor dos Aneis;J. R. R. Tolkien;59,9;7
8;As Cronicas de Narnia;C. S. Lewis;45;9
9;O Pequeno Principe;Antoine de Saint-Exupery;19,9;25
10;Dom Casmurro;Machado de Assis;22,5;14
11;1984;George Orwell;32,9;11
12;A Revolucao dos Bichos;George Orwell;24,9;18
13;O Codigo Da Vinci;Dan Brown;39,9;6
14;Good Omens;Neil Gaiman, Terry Pratchett;45,9;10
15;The Talisman;Stephen King, Peter Straub;49,9;7
16;O Homem que Vendeu a Lua;Robert A. Heinlein;38,5;6
17;Deuses Americanos;Neil Gaiman;52,9;9
18;The Expanse;James S. A. Corey;55,9;5
